context,evidence_type,categories
suddenly,u,animal bird object all
fire,r,object all
enormous,u,object
shot,u,measure no-cat
smoked,u,measure
cuts,u,measure
high,u,measure no-cat
contemporary,u,measure
surface,u,fruit measure
cool,r,measure no-cat
act,u,measure no-cat
sit,u,fruit measure no-cat
cover,i,fruit measure
smoke,i,measure
heat,u,measure no-cat
fingers,u,fruit measure
place,u,measure
fitting,u,measure
gold,u,measure
salt,u,measure
turned,u,measure
corp,u,measure
watched,u,measure
burned,l,measure
electric,u,measure
burning,r,measure
shots,u,measure
lift,u,measure no-cat
shining,u,measure
raw,u,measure
vacuum,u,measure
say,u,fruit measure
allow,u,measure no-cat
facing,u,measure no-cat
bones,u,measure no-cat
seattle,u,measure no-cat
ever,u,bird measure no-cat
halfway,u,measure
loose,u,measure
mess,u,measure
divided,u,measure
rainbow,u,measure
ate,u,measure
frozen,u,measure
escaped,u,measure
actors,u,measure
coal,i,measure
thieves,u,measure
wet,u,measure
legs,u,measure
inner,u,measure
easy,u,measure
medical,u,measure
minutes,u,measure
ultimate,u,measure
moss,u,measure
interviewed,u,measure
everybody,u,measure
defense,u,measure
jungle,u,measure
tight,u,measure
theory,u,measure
abandoned,u,mammal measure no-cat
dock,u,measure
suburban,u,measure
referring,u,measure
burn,r,measure
burns,r,measure
pushing,u,measure
immediately,u,measure
fixed,u,measure
obvious,u,measure
escape,u,measure
suffering,u,measure no-cat
greg,u,measure
clinton,u,measure
ill,u,measure
smoking,r,measure
simon,u,measure
referred,u,measure
regular,u,measure
problem,u,measure no-cat
roll,u,measure
automatically,u,measure
bloody,u,measure
swim,u,measure
remained,u,measure
swings,u,measure
sick,u,measure
intriguing,u,measure
episode,u,measure
aside,u,measure
effects,u,measure
broad,u,fruit measure
handful,u,fruit measure
terrible,u,measure
foreign,u,measure
died,u,fruit measure
prepared,u,measure no-cat
rough,u,measure
reportedly,u,measure
war,u,measure
sister,u,measure
headed,u,measure
traditionally,u,measure
carol,u,measure
minute,u,measure
deeper,u,measure
script,u,measure
anna,u,measure
yeah,u,measure
horror,u,measure
indeed,u,measure no-cat
hiding,u,measure
accused,u,measure
musicians,u,measure
sex,u,measure
surely,u,measure no-cat
lawyers,u,measure
senior,u,measure
calling,u,bird measure
drivers,u,measure
media,u,measure
hut,u,measure
1979,u,measure
awarded,u,measure
results,u,measure no-cat
met,u,measure no-cat
apparent,u,measure
realize,u,measure
youngest,u,measure no-cat
positive,u,measure
potential,u,measure no-cat
designated,u,measure
backed,u,measure
money,u,measure
league,u,measure
linked,u,measure
equal,u,measure
track,u,measure
luck,u,measure no-cat
limit,u,measure
broadcast,u,measure
worry,u,measure no-cat
accept,u,measure
1994,u,measure
civil,u,measure
college,u,measure no-cat
brain,u,measure
ban,u,measure
sandy,u,measure
bound,u,measure
admits,u,fruit measure
killed,u,measure
elite,u,measure
patients,u,measure
fried,r,measure
federal,u,measure
make,u,measure
dating,u,measure
crush,u,fruit measure
remaining,u,measure
barely,u,measure no-cat
doctor,u,measure
truly,u,measure
partially,u,measure
reduce,u,measure
classics,u,measure
diverse,u,fruit measure
parker,i,measure
jeans,i,plant
restaurants,u,fruit plant
beach,u,plant
call,u,fruit plant
carries,u,plant
lace,i,fruit plant
chic,u,plant
stream,u,plant
except,u,no-cat plant
under,u,fruit food plant
wool,i,fruit plant
as,u,plant
linda,u,fruit plant
distributors,u,fruit plant
picker,u,fruit plant
sam,u,plant
picking,u,fruit food plant
nuts,u,plant
jersey,i,plant
tank,i,plant
feeling,u,plant
maroon,u,plant
breaks,u,fruit plant
main,u,fruit no-cat plant
packed,u,fruit no-cat plant
better,u,plant
lunch,u,plant
three,u,food plant
shooting,u,no-cat plant
chains,i,fruit plant
star,u,bird fruit plant
chartreuse,u,plant
darker,r,plant
strange,u,plant
branch,u,fruit plant
suited,u,plant
bar,u,fruit plant
blends,u,fruit plant
became,u,plant
wine,u,fruit plant
sherry,u,fruit plant
best,u,fruit plant
appeared,u,fruit food plant
well,u,plant
kitchen,u,no-cat plant
breast,u,plant
everyone,u,plant
guest,u,plant
la,u,plant
fare,u,plant
whereas,u,plant
really,u,mammal fruit no-cat
come,u,mammal
bag,i,mammal no-cat
nest,u,bird
habitat,u,bird
populations,u,bird
miles,u,bird fruit
following,u,bird no-cat
tim,u,bird
devastated,u,bird
above,u,bird
winter,u,bird
ii,u,bird
nearly,u,bird no-cat
last,u,bird
11,u,bird
creature,u,bird
eggs,u,bird
15,u,bird
colonies,u,bird
falcon,u,bird
nesting,u,bird
1993,u,bird
northern,u,bird
operation,u,bird
eyes,i,bird fruit no-cat
foot,u,bird
help,u,bird
large,u,bird no-cat
encounter,u,bird
alaska,u,bird
lawsuit,u,bird
12,u,bird
birth,u,bird
curious,u,bird
celebrated,u,bird
columbia,u,bird
stable,u,bird
spotting,u,bird
explained,u,bird
exhibit,u,bird
shy,u,bird
drops,u,bird
names,u,bird
newly,u,bird
puts,u,bird
protected,u,bird
nests,u,bird
great,u,bird fruit no-cat
mix,u,bird
eat,u,bird
extinct,u,bird
hit,u,bird no-cat
classic,u,bird no-cat
largest,u,bird
drawing,u,bird
over,u,bird
magazine,u,bird
2004,u,bird no-cat
recordings,u,bird
actually,u,bird
grade,u,bird fruit
tracking,u,bird animal no-cat
kansas,u,bird no-cat
view,u,bird
droppings,u,bird
includes,u,bird
fought,u,bird
frequently,u,bird no-cat
behalf,u,bird fruit
today,u,bird
hunting,u,bird
collected,u,bird
vanished,u,bird no-cat
grandmother,u,relation
tossed,u,relation
neighbor,u,relation
cloth,i,relation
black,p,relation all
perhaps,u,fruit relation
cheers,u,relation
named,u,fruit food
species,u,food
bearing,u,food
size,u,fruit food
discovered,u,fruit food
introduction,u,animal no-cat
likely,u,animal no-cat
evidence,u,animal
spread,u,no-cat
ugly,u,fruit no-cat
red,u,no-cat
europe,u,no-cat
market,i,no-cat
past,i,no-cat
canada,u,no-cat
way,u,fruit no-cat
add,u,no-cat
lot,u,no-cat
500,u,no-cat
without,u,fruit no-cat
machine,u,no-cat
central,u,no-cat
everything,u,no-cat
